0;1;2
293;S;outros cibercrimes
296;N;
297;S;Outros Cibercrimes
298; S; Cibercrime bancário
299; N;
300;N;N
302; N;
303; S; Outros Cibercrimes
305;S;Cibercrime bancário
306;N;
307;N;
308; S; Cibercrime bancário
309; S; Cibercrime bancário
310;S;Cibercrimes
312; S; Cibercrime bancário
313; S; Outros Cibercrimes
314; N;
315; S; Outros Cibercrimes
316;S;Cibercrime bancário
317;S;Outros Cibercrimes
318;S;Outros Cibercrimes
322; S; Cibercrime bancário
323; N;
324;S;cibercrime bancário
325;S;Outros Cibercrimes
330;N;|-
331;S;|Outros Cibercrimes|
330;S;Outros Cibercrimes
331;N;-
332;S;Outros Cibercrimes
333;N;-
335;S;Cibercrime bancário
336;S;Cibercrime bancário
337;S;Outros Cibercrimes
338; N;
339; S; Outros Cibercrimes
340; S; N/A
341; S; Outros Cibercrimes
342; N;
343; S; Outros Cibercrimes
346;S;Cibercrime bancário
347;S;Cibercrime bancário
350; S; Outros Cibercrimes
351; N; (blank)
355; S;Cibercrime bancário
356;S;Outros Cibercrimes
357;S;Cibercrime bancário
360;S;Outros Cibercrimes
364; S; Cibercrime bancário
365; S; Outros Cibercrimes
366; N;
367; S; Cibercrime bancário
368; S; N
369; S; Cibercrime bancário
370; S; Cibercrime bancário
371; S; Outros Cibercrimes
372; N;
373; S; Outros Cibercimes
378; S; Cibercrime bancário
379; S; Cibercrime bancário
380;S;Cibercrime bancário
381;N;-
383; N;
384;S;Outros Cibercrimes
385;S;Cibercrime bancário
386; N;| -
387; S;| Cibercrime bancário
388;S;Outros Cibercrimes
389;S;Cibercrime bancário
392;S;Cibercrime bancário
393;S;Outros Cibercrimes
394;S;Outros Cibercrimes
395;N;
396; S; Outros Cibercrimes
398; S; Cibercrime bancário
399; N;
402;N;
403;N;
400;S;Outros Cibercrimes
401;S;Outros Cibercrimes
404; S; Cibercrime bancário
405; N; -
407;N;
408; N;|
409; N;|
410;S;Outros Cibercrimes
412; S; N/A
413; S; Outros Cibercrimes
414;S;Outros Cibercrimes
415;S;Outros Cibercrimes
416;N;<cibercrime bancário>
417;S;cibercrime bancário
420; N;
421; S; Outros Cibercrimes
422;S;Outros Cibercrimes
424;S;Outros Cibercrimes
425;S;Cibercrime bancário
418;S;Outros Cibercrimes
419;S;"Cibercrime bancário (Note: Although there is no direct mention of a financial institution, the use of the term ""criptomoeda"" and the context of a crime involving a weapon suggests that this may be related to a crime against a person or property, which falls under the category of Outros Cibercrimes)"
426; S; Cibercrime bancário
428;S;Cibercrime bancário
429;N;-
430; S; Cibercrime bancário
431; N;
434; S; Cibercrime bancário
435; N; -
433; N;
442; N;
443; N;
444; N;
445; S; Outros Cibercrimes
446; N;|
447; S;|Outros Cibercrimes
450; N;
451; S; Cibercrime bancário
452;S;Outros Cibercrimes
453;N;-
454; S; Cibercrime bancário
458; N;
459; S; Outros Cibercrimes
456; S;cibercrime bancário
457; N; - (não é um crime ocorrido)
462; S; Outros Cibercrimes
463; N; -
464; N;
466; N;
467; S; Outros Cibercrimes
468; S; Cibercrime bancário
469; N;
470; N;
471; S; Outros Cibercrimes
473;S;Outros Cibercrimes
475;S;Outros Cibercrimes
476; S; Cibercrime bancário
478;S;Outros Cibercrimes
479;S;Cibercrime bancário
480; S; Cibercrime bancário
481; N;
482; N;
483; S; Outros Cibercrimes
487;S;Outros Cibercrimes
484; S; Cibercrime bancário
485; S; Outros Cibercrimes
490;N;
491;S;Outros Cibercrimes
492;S;Outros Cibercrimes
488;S;Cibercrime bancário (não, não é um crime digital)
489;S;Outros Cibercrimes (não é um crime digital)
500; S; Cibercrime bancário
501; N; -
502;S;Outros Cibercrimes
503;S;Cibercrime bancário
504; S; Outros Cibercrimes
505; N; -
506;S;Cibercrime bancário
507;N;
498;S;Cibercrime bancário
499;N;
500;S;Outros Cibercrimes (não especificado)
501;S;Outros Cibercrimes (golpe bolsonarista)
502;S;Outros Cibercrimes (militares no golpe)
503;S;Outros Cibercrimes (corte de gastos)
512; N;
513; S; Outros Cibercrimes
514; N;
515; S; Cibercrime bancário
