0;1;2
657;S;Outros Cibercrimes
660;S;Outros Cibercrimes
662; S; Cibercrime bancário
664;S;cibercrime bancário
666;S;Cibercrime bancário
667;S;Cibercrime bancário
670;N;
671;N;
676;S;Cibercrime bancário
680;S;Cibercrime bancário
681;S;Cibercrime bancário
683;S;cibercrime bancário
684;S;Cibercrime bancário
685;S;Cibercrime bancário
686;S;Cibercrime bancário
687;S;Cibercrime bancário
688;S;N
691;S;Cibercrime bancário
694;S;Outros Cibercrimes
695;S;Cibercrime bancário
696; S; Outros Cibercrimes
700;S;Outros Cibercrimes
698; N;
699; S; Cibercrime bancário
704;S;Outros Cibercrimes
705;N;-
702; S; Cibercrime bancário
703; S; Outros Cibercrimes
710;S;Outros Cibercrimes
711;S;Crimen Não Digital
712; S; Cibercrime bancário
713; S; Outros Cibercrimes
714;S;Outros Cibercrimes
715;N;-
718; S; Outros Cibercrimes
716;S;Outros Cibercrimes
717;N;
720;S;Outros Cibercrimes
721;S;Cibercrime bancário
722; S; Cibercrime bancário
723; N;
724; N;
725; S; Outros Cibercrimes
726; S; Cibercrime bancário
727; S; Outros Cibercrimes
728;S;Cibercrime bancário
729;S;Outros Cibercrimes
730; N;|Outros Cibercrimes|
731; N;|N/A|
734; S; Outros Cibercrimes
732; N;|-
733; S;|Cibercrime bancário
736;S;Outros Cibercrimes
738;S;Cibercrime bancário
739;N;
740; N;
741; S; Cibercrime Bancário
744; N;
745; S; Outros Cibercrimes
742; S; Círcrime (homicídio doloso qualificado por motivo fútil)
743; N;
746;S;Outros Cibercrimes
748; N;
749; S; Outros Cibercrimes
751;S;Outros Cibercrimes
752; N;|
754;S;Outros Cibercrimes
756; N;
757; N;
758; N;
759; S; Outros Cibercrimes
760;S;Outros Cibercrimes
761;N;-
762;S;Outros Cibercrimes
763;S;Cibercrime bancário (não é um crime tradicional, mas sim uma morte com arma branca)
764; S; Outros Cibercrimes
765; N; -
766; N;
767; S; Outros Cibercrimes
768; N;
769; S; Outros Cibercrimes
770;S;Cibercrime bancário
773;S;cibercrime bancário
776;S;Cibercrime bancário
774;S;Outros Cibercrimes
775;S;Cibercrime Bancário
780; S; Cibercrime bancário
781; N;
783; S; Cibercrime bancário
784;S;cibercrime bancário
785;S;Outros Cibercrimes
786;S;Cibercrime bancário
787;S;Golpe do aniversário
788; S; Cibercrime bancário
789; N;
790; N;
791; S; Outros Cibercrimes
792; S; Cibercrime bancário
793; N; -
794; N;
795; N;
807; N;
808; N;|
809; S;| Outros Cibercrimes (não há referência a golpe ou fraude bancária)
810;S;Outros Cibercrimes
812; N;
814;S;Outros Cibercrimes
818; N;
819; N;
820;S;Cibercrime bancário
822;S;N/A
823;S;Crimem de Lesão Corporal (ou outros Cibercrimes)
826;S;Cibercrime bancário
828; S; Outros Cibercrimes
833;N;-
830;S;Cibercrime bancário
831;S;Cibercrime bancário
834;N;
835;N;
836;S;Outros Cibercrimes
838;N;
839;N;
844; S; Outros Cibercrimes
845; S; Outros Cibercrimes
846; S; Outros Cibercrimes
848;S;cibercrime bancário
849;S;cibercrime bancário
850;N;N
851;S;Outros Cibercrimes
852;S;Cibercrimes (Golpe de Namoro Virtual)
853;S;Cibercrimes (Outros Cibercrimes)
854;S;cibercrime bancário
856;S;N
860; S; Outros Cibercrimes
863;S;Golpe
864;S;Cibercrime bancário
865;S;Cibercrime bancário
868;S;Outros Cibercrimes
869;S;Outros Cibercrimes
870;S;cibercrime bancário
872;S;Crimes Contra Pessoa
874; S; Outros Cibercrimes
875; S; Outros Cibercrimes
876;N;
877;S;Cibercrime bancário
878; S; Cibercrime bancário
879; N;
880; N;
881; N;
883; N;
884; N;
885; S; Outros Cibercrimes
886;S;Cibercrime bancário
887;S;Outros Cibercrimes
888; S; Cibercrime bancário
891;S;Outros Cibercrimes
893;S;Outros Cibercrimes
892;N;
894; S; Cibercrime (N)
895; N;
898;S;Outros Cibercrimes
896;S;Outros Cibercrimes
897;S;Cibercrime bancário
902;S;Cibercrime bancário
903;S;Outros Cibercrimes
900;S;cibercrime bancário
901;N;(empty string, since it does not describe a crime that occurred)
904; N;
905; S; Cibercrime bancário
912;S;Outros Cibercrimes
913;S;Cibercrime bancário
914;S;Outros Cibercrimes
917;S;Cibercrime bancário
918;S;Outros Cibercrimes
919;S;Cibercrime bancário
916; N;
917; S; Cibercrime bancário
918; S; Cibercrime bancário
921;S;Outros Cibercrimes
922;S;Outros Cibercrimes
923;S;Cibercrime bancário
924;S;Cibercrime bancário
925;S;Cibercrime bancário
928;S;Cibercrime bancário
929;S;Cibercrime bancário
930;S;Cibercrime bancário
931;S;Cibercrime bancário
934;S;Outros Cibercrimes
935;S;Outros Cibercrimes
936;N;
937;N;
940;N;
941;N;
944;S;Outros Cibercrimes
946;S;Cibercrime não aplicável (crime offline)
947;S;Cibercrime não aplicável (crime offline)
948;S;Outros Cibercrimes
952; S; Cibercrimes Bancários
954;N;
955;N;
957; S; Outros Cibercimes
958; S; Cibercrime bancário
959; S; Outros Cibercrimes
960;S;Outros Cibercrimes
