index|quem|o_que|quando|onde|por_que|como
101|vítima: autor do relato|e-mail com nome errado|hoje|e-mail|dados incorretos|possível phishing
102|vítima: autor do relato|mensagem suspeita do nada|recentemente|canal desconhecido|conteúdo aleatório|risco não claro
103|vítima: autor do relato|produtos não solicitados|últimas semanas|Shopee|comprometimento de conta|envios misteriosos
104|vítima: autor do relato|anúncio de produto gratuito|recentemente|redes sociais|dublagem por IA|isca para golpe
105|vítima: autor do relato|oferta de plataforma de estudos|recentemente|Meta (Facebook)|preço baixo|conteúdo duvidoso
106|vítima: autor do relato|redirecionamento para sites falsos|recentemente|Google Feed|aparência legítima|fraude em cadeia
107|vítima: autor do relato|golpe de emprego falso|recentemente|Facebook Ads|contrato falso|cobrança por serviços
108|vítima: autor do relato|mensagem padrão de golpista|recentemente|plataforma de vendas|abordagem genérica|risco de fraude
109|vítima: autor do relato|preço suspeito de violão|recentemente|loja online|diferença de valor|empresa não confiável
110|vítima: autor do relato|e-mails de cobrança antigos|diariamente|e-mail|CNPJ antigo|spam persistente
111|vítima: autor do relato|exemplo de golpe assustador|N/A|N/A|N/A|N/A
112|vítima: autor do relato|venda de produtos caros|pretendida|OLX|risco de golpe|preocupação com segurança
113|vítima: autor do relato|e-mail suspeito no spam|recentemente|caixa de spam|aparência de banco|phishing
114|vítima: autor do relato|atendimento bancário suspeito|recentemente|ligação oficial|solicitação de ID|procedimento incomum
115|vítima: autor do relato|clonagem de cartão na Azul|recentemente|compras não autorizadas|falha de segurança|problema com reembolso
116|vítima: autor do relato|mensagem sobre encomenda|recentemente|WhatsApp|dados corretos|risco de golpe
117|vítima: autor do relato|ligação não realizada|recentemente|WhatsApp|número mascarado|tentativa de contato
118|vítima: autor do relato|grupo do WhatsApp suspeito|recentemente|WhatsApp|adicionado sem consentimento|conteúdo fraudulento
119|vítima: autor do relato|anúncio de guitarra barata|recentemente|OLX|preço abaixo do mercado|entrega restrita
120|vítima: autor do relato|golpes consecutivos|hoje|Instagram e outros|perfis falsos|links maliciosos
121|vítima: autor do relato; golpista: frentista do posto|abastecimento incorreto (5L vs 42L)|recentemente|posto de gasolina|erro ou má-fé na bomba|contato insistente por WhatsApp
122|vítima: autor do relato|produto sem embalagem original|recentemente|Amazon Brasil|descasamento entre anúncio e produto|entrega direta sem caixa
123|vítima: autor do relato|dicas de segurança digital|N/A|N/A|N/A|N/A
124|vítima: autor do relato|mensagens indesejadas de clínicas|recorrente|WhatsApp/SMS|vazamento de dados|contato persistente
126|vítima: autor do relato; golpista: perfil fake no Facebook|tentativa de golpe via comentário|recentemente|Facebook (How Ridiculous)|perfil fake com logo oficial|pedido de foto pessoal
127|vítima: autor do relato|PIX não solicitados da SuitPay|recentemente|conta bancária|origem desconhecida|ausência de contato
128|vítima: autor do relato|medo de golpe na OLX Pay|pretendido|OLX|paranoia pós-experiência|dúvidas sobre garantia
129|vítima: autor do relato|golpe envolvendo animal|N/A|N/A|N/A|N/A
130|vítima: autor do relato|golpes com acompanhantes|N/A|plataformas online|dificuldade de verificação|risco de perfis falsos
131|vítima: autor do relato|golpe de migração para o Canadá|recentemente|site CanAmMigrate|pressão por pagamento|entrevista falsa
132|vítima: autor do relato|PIX não autorizado via Sant Bank|recentemente|Nubank PJ|instituição suspeita|falta de garantia de reembolso
133|vítima: autor do relato|tentativa de portabilidade|recentemente|operadora telefônica|roubo de número|fraude de identidade
134|vítima: autor do relato|alerta de golpe no PIX|recentemente|Enjoei|URL suspeita|risco de pagamento fraudulento
135|vítima: autor do relato|loja suspeita no Instagram|recentemente|Seja Velvet|desproporção seguidores/curtidas|pagamento sem cadastro
136|vítima: pai do autor|golpe de "imposto" para liberar valor|recentemente|aplicativo desconhecido|promessa de ganho fácil|pedido de adiantamento
137|vítima: autor do relato|ligação suspeita para WhatsApp|recentemente|telefone/WhatsApp|abordagem genérica|risco não claro
138|vítima: autor do relato|isca de golpe hilária|N/A|N/A|N/A|N/A
139|vítima: autor do relato|golpe de apostas esportivas|recentemente|Esportiva Bet|conta de terceiros|motivação financeira obscura
140|vítima: autor do relato|mensagem bizarra de golpista|recentemente|WhatsApp|personagem mantido|intenção desconhecida
141|vítima: autor do relato|compras não autorizadas|recentemente|cartão de crédito|vazamento em massa|LRECOMDIGITALLTDA
142|vítima: amigo do autor|golpe da OLX Pay com motoboy|recentemente|OLX/WhatsApp|prints falsos|falsa confirmação de pagamento
143|vítima: autor do relato|perfil fake no Tinder|recentemente|Tinder/WhatsApp|foto roubada|urgência para encontro
144|vítima: autor do relato|vazamento de dados pessoais|recentemente|ligação fraudulenta|BO feito|tentativa de acesso a contas
145|vítima: autor do relato|spam de casas de aposta|diariamente|SMS/WhatsApp|ineficácia de bloqueio|links persistentes
146|vítima: autor do relato|golpe de bolsa de estudos|recentemente|Go Idiomas/AB BRASIL LTDA|pressão para compra|material caro
147|vítima: autor do relato|e-mail falso da Polícia Civil|recentemente|e-mail|link malicioso|.exe infectado
148|vítima: autor do relato|risco de golpe na OLX|pretendido|OLX|envio interestadual|possível chargeback
149|vítima: autor do relato|golpe de pós-graduação|recentemente|ligação telefônica|pressão para matrícula|Grupo Monark
150|vítima: autor do relato|golpe entre operadoras|recentemente|Claro/TIM|venda cruzada|aumento fictício
151|vítima: autor do relato|vagas falsas com taxas|recentemente|redes sociais/telefone|ausência de entrevista real|cobrança de "taxinha"
152|vítima: autor do relato|phishing com boleto falsificado|4-5 anos atrás|e-mail/documento|dados legítimos|quase queda em fraude
153|vítima: mãe do autor|golpe de aniversário falso|recentemente|mensagem/ligação|exploração emocional|narrativa de loja física
154||||||
155|vítima: autor do relato|golpe de emprego falso|recentemente|site clonado da Vivo|pagamento para "equipamento"|loop de PIX
156|vítima: autor do relato|perfis fake no Facebook|constante|Facebook|aparência convincente|diversos tipos de golpe
157|vítima: autor do relato|perfil fake com foto asiática|recentemente|redes sociais|nome genérico|risco não especificado
158|vítima: autor do relato|anúncio suspeito de queijos|recentemente|YouTube|urgência/desconto|produto duvidoso
159||||||
160|vítima: autor do relato|chatbot golpista|recentemente|aplicativos de mensagem|automação|transição para humano?
161|vítima: autor do relato|risco com chave PIX|recentemente|Mercado Livre|empresa falsa da QCY|solicitação de chave
162|vítima: autor do relato|ligações silenciosas|recorrente|telefone|coleta de voz?|tática desconhecida
163|vítima: autor do relato|risco de devolução fraudulenta|pretendido|OLX Pay|troca por item inferior|"tijolo" no lugar
164|vítima: autor do relato|golpe do PagBank|recentemente|redes sociais/telefone|phishing bancário|links maliciosos
165|vítima: autor do relato|PIX não solicitado|ontem|conta bancária|erro ou golpe?|origem desconhecida
166|vítima: autor do relato|arquivo .doc malicioso|recentemente|e-mail/mensagem|vírus em documento|não aberto
167|vítima: autor do relato|golpe do GamePass barato|recentemente|Telegram/Mercado Livre|pagamento via PIX|desaparecimento
168|vítima: autor do relato|match suspeito no Tinder|hoje|Tinder/WhatsApp|migração rápida|risco não claro
169|vítima: autor do relato|phishing do Booking|recentemente|e-mail do hotel|conta invadida|link falso para cartão
170|vítima: autor do relato|risco em compra de notebook|pretendido|Marketplace|produtos caros|golpes variados
171|vítima: autor do relato|golpe de valor irrisório|N/A|N/A|N/A|N/A
172||||||
173|vítima: autor do relato|e-mail suspeito no spam|recentemente|caixa de spam|remetente estranho|phishing?
174|vítima: autor do relato|pedido de fotos de dentes|recentemente|Telegram|estudante falso|motivação obscura
175|vítima: autor do relato|golpe do investimento|1 semana atrás|Tinder/WhatsApp|insistência em cripto|mudança de perfil
176||||||
177|vítima: autor do relato|cobrança de talão de cheque|recentemente|documento/ligação|lei inventada|ausência no Serasa
178|vítima: autor do relato|ligações silenciosas|recorrente|telefone|DDD igual|desligamento rápido
179|vítima: autor do relato|mensagem de vaga falsa|recentemente|SMS/WhatsApp|currículo não enviado|dados incorretos
180|vítima: autor do relato|comentário cômico|N/A|N/A|N/A|N/A
181|vítima: autor do relato|golpe do sequestro falso|semana passada|WhatsApp|áudio manipulado|inconsistências na história
182|vítima: mãe do autor|ligações do BMG|+1 ano|telefone|cartão não solicitado|persistência
183|vítima: autor do relato|compra de moto suspeita|recentemente|OLX|comprador para terceiro|loja real?
184|vítima: autor do relato|oferta por username|1 mês atrás|Telegram|compra de perfil|método desconhecido
185|vítima: autor do relato|compras com cartão clonado|recentemente|Lupo/DrogariasSP|cadastro com dados reais|entrega no golpista
186|vítima: autor do relato|processo contra Meta|andamento|Facebook/WhatsApp|negação de dados|decisão judicial
187|vítima: autor do relato|e-mail do FBI falso|recentemente|e-mail|indenização falsa|golpe internacional
188|vítima: autor do relato|consoles sem imposto|recentemente|OLX/Marketplace|preço abaixo|galpão fictício
189|vítima: avó do autor|golpe do prêmio|recentemente|site falso|taxa para receber|valor reduzido
190|vítima: autor do relato|e-mails falsos no trabalho|constante|e-mail corporativo|phishing|resistência de colegas
191|vítima: autor do relato|mensagem estranha no FB|recentemente|Facebook Direct|abordagem incomum|método desconhecido
192|vítima: autor do relato|golpe do aluguel|recentemente|anúncios online|herdeiro fictício|caução antecipada
193|vítima: autor do relato|vazamento por MEI|recorrente|e-mail|phishing pós-vazamento|dados expostos
194|vítima: autor do relato|golpe do PayPal|recentemente|transação internacional|bloqueio falso|depósito adicional
195|vítima: autor do relato|reunião em hotel|recentemente|curso grátis|local suspeito|risco não claro
196|vítima: autor do relato|grupos de golpe no Telegram|recentemente|Telegram|coleta de PIX|bots e perfis falsos
197|vítima: autor do relato|troca de Xbox suspeita|pretendido|Marketplace|oferta "boa demais"|golpe do Enjoei
198|vítima: pai do autor|golpe da "taxa de residência"|ontem|telefone|ameaças do CV|PIX sob coerção
199|vítima: autor do relato|compra não reconhecida|recentemente|cartão clonado|local inconsistente|fraude
200||||||
201|vítima: autor do relato|SMS suspeito|recentemente|mensagem de texto|endereço desconhecido|link perigoso?
202|vítima: autor do relato|phishing da Receita|19/05|e-mail da EGS Sistemas|site falso do Gov|roubo de dados
203|vítima: autor do relato|motorista de má-fé|19/05|Uber|rota alterada|cobrança extra
204|vítima: autor do relato|golpe com baixa probabilidade|recentemente|canal desconhecido|esperança de ganho|risco alto
205|vítima: pai do autor|ligação sobre compra falsa|recentemente|telefone|alerta de valor alto|pedido de cartão
206|vítima: autor do relato|oferta de investimento irreal|recentemente|redes sociais|promessa exagerada|esquema duvidoso
207|vítima: autor do relato|golpe da "benção financeira"|recentemente|Instagram/Telegram|pedido de PayPal|método desconhecido
208|vítima: irmã do autor|ameaça de traficante|recentemente|ligação telefônica|dados pessoais|sem pedido de dinheiro
209|vítima: autor do relato|pedido de tradução suspeito|recentemente|canal desconhecido|valor/prazo absurdos|intenção obscura
210|vítima: autor do relato|golpe com notas falsas|quarta-feira|OLX (presencial)|pressa na transação|impacto emocional grave
211|vítima: autor do relato|bloqueio após contato|recentemente|redes sociais|serviço não solicitado|motivação desconhecida
212|vítima: autor do relato|pedido de cancelamento|recentemente|Amazon/WhatsApp|loja solicitando ação|envio não disponível
213|vítima: autor do relato|risco com carteira cripto|recentemente|YouTube|exposição de chaves|possível roubo
214|vítima: mãe do autor|golpe em app de live|recentemente|Kako Live|compra de coins|similar a Tigrinho
215|vítima: autor do relato|contatos estrangeiros|recorrente|mensagens|perguntas genéricas|intenção desconhecida
216|vítima: pai do colega|ameaça com vídeo armado|recentemente|áudio/WhatsApp|cobrança de "calção"|risco real ou golpe
217|vítima: autor do relato|golpe recorrente|recentemente|canal desconhecido|persistência|método não especificado
218|vítima: autor do relato|proposta de compra OLX|recorrente|OLX|PIX + Uber|risco de golpe
219|vítima: irmão do autor|golpe por link|recentemente|OLX/e-mail|acesso à conta bancária|roubo via PIX
220|vítima: autor do relato|coleta de IMEI|recentemente|loja Samsung|"bater metas"|risco de clonagem
221|vítima: autor do relato|golpe do troco|meses atrás|supermercado|notas trocadas|confusão calculada
222|vítima: autor do relato|reserva suspeita no Airbnb|recentemente|Airbnb|hóspede inconsistente|documentos falsos
223|vítima: autor do relato|golpe de sushi delivery|recentemente|Instagram|perfis recentes|PIX obrigatório
224|vítima: autor do relato|vazamento de número|recentemente|grupos de golpistas|contatos indesejados|risco não especificado
225|vítima: autor do relato|ameaça de entregador|recentemente|Shopee|produto não entregue|intimidação
226|vítima: autor do relato|dúvida sobre envio OLX|pretendido|OLX|entrega presencial vs correio|perda de garantia
227|vítima: autor do relato|compras não autorizadas|recentemente|loja online|endereços reais|esquema complexo
228|vítima: autor do relato|tentativa de golpe|recentemente|canal desconhecido|fraude óbvia|rejeição
229|vítima: autor do relato|anúncio suspeito|recentemente|plataforma desconhecida|aparência fraudulenta|risco alto
230|vítima: autor do relato|golpe da "bolsa de leitura"|recentemente|telefone corporativo|dados bancários vazados|falha grave
231|vítima: autor do relato|e-mail para cadastros|N/A|N/A|prevenção de spam|N/A
232|vítima: autor do relato|golpe freelance|recentemente|Behance/WhatsApp|taxa de transferência|empresa falsa
233|vítima: autor do relato|e-mail em japonês|recentemente|spam|companhia de gás falsa|phishing incomum
234|vítima: autor do relato|golpe de alfândega|recentemente|e-mail/spam|retenção de produto|vazamento de dados?
235|vítima: autor do relato|contato após cadastro|recentemente|Porto/Allianz|venda agressiva|risco de dados
236|vítima: autor do relato|mensagem traduzida|recentemente|canal desconhecido|texto genérico|golpe internacional
237|vítima: autor do relato|golpe do "investigador"|recentemente|ligação familiar|pagamento por provas|ameaça implícita
238|vítima: autor do relato|comprador suspeito|recentemente|OLX|interesse em desconto|narrativa inconsistente
239|vítima: autor do relato|golpe clássico|N/A|N/A|tática conhecida|N/A
240|vítima: namorado do autor|tendência a golpes|recorrente|vários meios|falta de desconfiança|risco constante
241|vítima: autor do relato|golpe em brechó|recentemente|Instagram|pagamento parcelado|desaparecimento
242|vítima: autor do relato|ligações diárias|constante|telefone|golpes variados|ineficácia de bloqueio
243|vítima: mãe do autor|e-mail de desconto|recentemente|e-mail|empresa inexistente|assinatura fraudulenta
244|vítima: autor do relato|ligações de benefícios|recorrente|telefone|dados vazados|pedido de cartão
245|vítima: autor do relato|venda de carro|pretendido|Carteira Digital DT|transferência digital|risco de fraude
246|vítima: autor do relato|ameaça de cafetina|recentemente|mensagem|dados vazados|extorsão
247|vítima: autor do relato|e-mail da Quero Quitar|recentemente|e-mail|débito inexistente|phishing ou cobrança
248|vítima: autor do relato|spams persistentes|constante|e-mail|tentativas falhas|N/A
249|vítima: autor do relato|cartão não reconhecido|recentemente|Nubank|empresa desconhecida|risco baixo
250|vítima: autor do relato|depósito não identificado|recentemente|Caixa Econômica|seguro-desemprego|sem golpe
251||||||
252|a tia da pessoa|golpistas acessaram o WhatsApp da tia e enviaram mensagens pedindo dinheiro aos contatos, usando áudios com a voz da tia|pouco antes de começar as mensagens|WhatsApp|golpista gravou a voz da tia durante uma ligação falsa|golpista ligou fingindo ser da secretaria da Cultura, gravou a voz da tia e usou para enganar os contatos|
253|homem de 24 anos|foi preso por criar páginas falsas com deepfake de Marcos Mion prometendo descontos no Outback|segunda fase da operação Voice Over, iniciada em janeiro|Instagram e site clone|uso de deepfake e promoção falsa|golpe usava link no Instagram para site clone onde vítimas eram enganadas a enviar Pix|
254||||||
255|namorado da pessoa|motoboy alegou entrega de encomenda não recebida|hoje de tarde|endereço residencial||motoboy mostrou foto do portão e insistiu que encomenda foi assinada por "Maria"|
256|pessoa em processo de habilitação|autoescola solicitou senha do Gov.br|hoje|grupo da autoescola no WhatsApp||mensagem no grupo pedindo senha do Gov.br para agendamento|
257|pessoa que doou dinheiro|golpista alegou que Pix puxava dados e tentou extorquir mais dinheiro|depois da doação inicial|WhatsApp||golpista ameaçou vazar dados após receber Pix de 15 reais|
258||||||
259|vendedor do relógio|comprador quer pagar via Pix e enviar motoboy, mas recusa método seguro da OLX||OLX||comprador insiste em envio por Sedex 10 após combinar entrega em local errado|
260||||||
261||||||
262|mãe da pessoa|compra em site falso de queijos|após a compra|site "Queijo de Minas Gerais"|preços baixos e site não verificado|site pede muitos dados pessoais para cancelamento|
263||||||
264||||||
265|mãe da pessoa|dados da conta gov.br foram alterados por golpistas||gov.br|brecha no sistema|golpistas alteraram senha e e-mail sem necessidade de reconhecimento facial|
266||||||
267|empresa onde a pessoa trabalha|número de telefone da empresa foi alterado no Google sem autorização||Google|brecha no sistema|golpistas alteraram número no Google para desviar ligações|
268||||||
