|links
81|https://blog.pagseguro.uol.com.br/golpe-do-cartao-por-aproximacao/
83|https://www.cnnbrasil.com.br/economia/golpe-do-pix-vitima-relata-nova-modalidade-usada-por-criminosos/
85|https://diariodonordeste.verdesmares.com.br/opiniao/colunistas/germano-ribeiro/saiba-como-proteger-o-cartao-de-credito-do-golpe-do-pagamento-por-aproximacao-e-outras-fraudes-1.3332678
87|https://monitormercantil.com.br/cartao-golpe-da-troca-e-um-dos-mais-comuns-no-periodo-de-carnaval/
89|https://www.uol.com.br/tilt/noticias/redacao/2023/02/01/como-se-proteger-do-golpe-que-bloqueia-pagamento-por-aproximacao.htm
91|https://gauchazh.clicrbs.com.br/seguranca/noticia/2023/01/golpe-da-atualizacao-cadastral-criminosos-usam-papel-com-nome-de-banco-para-furtar-cartoes-em-caixas-cld9928b800140157cjm7nrsh.html
93|https://blog.pagseguro.uol.com.br/cuidados-e-golpes-com-cartao/
95|https://exame.com/invest/minhas-financas/golpes-fraudes-bancarias-como-se-proteger/
97|https://noticias.r7.com/brasilia/cidade-alerta-df/videos/comerciantes-sao-vitimas-de-golpe-da-maquininha-em-goias-28072022
99|https://www.migalhas.com.br/depeso/370494/o-golpe-do-cartao-trocado
101|https://br.financas.yahoo.com/news/golpes-com-cartao-de-credito-os-mais-comuns-e-como-evita-los-090023584.html
104|https://olhardigital.com.br/2022/05/16/seguranca/golpe-sim-swap-criminosos-podem-tomar-sua-conta-do-whatsapp-trocando-seu-chip-facilmente/
106|https://blog.bb.com.br/conheca-o-golpe-da-troca-de-cartao-de-credito/
108|https://www.em.com.br/app/noticia/economia/2022/03/28/internas_economia,1355954/golpe-da-maquininha-confira-dicas-para-nao-ser-vitima-do-crime.shtml
110|https://www.conjur.com.br/2022-mar-11/banco-indenizar-cliente-vitima-golpe-troca-cartoes
112|https://www.band.uol.com.br/noticias/jornal-da-band/ultimas/golpe-do-cartao-de-credito-trio-e-detido-apos-enganar-clientes-em-sao-paulo-16478444
114|https://noticias.r7.com/sao-paulo/suspeitos-aplicam-golpe-da-troca-de-cartao-na-porta-de-balada-em-sp-29062022
116|https://www.tecmundo.com.br/seguranca/225900-remocao-anjo-novo-golpe-cartao-credito-cresce-entre-criminosos.htm
118|https://www.cnnbrasil.com.br/business/golpe-do-motoboy-cresce-na-pandemia-e-usa-ate-musica-que-imita-call-center/
120|https://canaltech.com.br/seguranca/golpe-do-delivery-ganha-novas-abordagens-e-segue-em-alta-195708/
122|https://www.migalhas.com.br/quentes/344264/banco-indenizara-consumidor-vitima-de-fraude-em-cartao-de-credito
127|https://www.tecmundo.com.br/seguranca/155200-golpe-usa-nome-netflix-roubar-dados-cartao-credito.htm
129|https://economia.uol.com.br/colunas/tudo-golpe/2020/06/02/criminosos-usam-fotos-de-redes-sociais-para-aplicar-golpes-no-whatsapp.htm
131|https://www.uol.com.br/tilt/isso-e-golpe/
133|https://invest.exame.com/minhas-financas/banco-pode-se-recusar-a-reembolsar-golpe-no-cartao-durante-carnaval/
137|https://www.metroworldnews.com.br/foco/2020/02/17/golpe-troca-de-cartao.html
139|https://www.tudocelular.com/curiosidade/noticias/n152588/nubank-lanca-fantasia-para-os-cartoes.html
141|https://economia.uol.com.br/noticias/redacao/2020/02/14/golpe-cartao-maquininha-celular-no-carnaval-dicas-para-evitar.htm
143|https://tudogolpe.blogosfera.uol.com.br/2020/01/29/video-mostra-como-e-o-golpe-da-troca-de-cartao-que-explode-no-carnaval/
145|https://www.uol.com.br/tilt/noticias/redacao/2019/09/03/oferta-falsa-da-turma-da-monica-no-whatsapp-visa-criancas-pf-faz-alerta.htm
147|https://www.metroworldnews.com.br/foco/2019/08/12/bancos-golpe-troca-chip-operadora.html
149|https://www.em.com.br/app/noticia/nacional/2019/03/02/interna_nacional,1035086/febraban-alerta-folioes-sobre-golpes-com-cartao-de-credito-ou-debito-n.shtml
153|https://www.jusbrasil.com.br/artigos/o-famoso-golpe-da-troca-de-cartoes/639955580
155|https://economia.uol.com.br/financas-pessoais/noticias/redacao/2018/10/14/cartao-senha-fraude-banco-golpe-indenizacao.htm
157|https://veja.abril.com.br/economia/como-funcionam-as-novas-fraudes-com-cartao-de-credito/
159|https://www.uol.com.br/tilt/listas/como-criminosos-conseguem-fraudar-cartoes-e-compras-online.htm
161|https://noticias.r7.com/cidades/fotos/golpe-do-motoboy-troca-de-cartao-site-falso-veja-como-se-proteger-de-crimes-bancarios-08112015/
169|https://www.em.com.br/app/noticia/economia/2012/02/10/internas_economia,277317/policia-civil-prende-suspeito-que-aplicava-golpe-com-maquina-de-cartao-de-credito.shtml
171|https://g1.globo.com/economia/noticia/2023/02/08/golpes-no-carnaval-troca-de-cartao-e-mudanca-de-valor-sao-fraudes-mais-comuns-veja-como-se-proteger.ghtml
173|https://g1.globo.com/sp/piracicaba-regiao/noticia/2024/10/17/dupla-suspeita-de-fazer-ao-menos-9-vitimas-com-golpe-da-troca-de-cartoes-e-presa-em-santa-barbara.ghtml
175|https://g1.globo.com/rj/rio-de-janeiro/noticia/2023/07/01/criminosos-trocam-cartoes-de-vitimas-de-golpes-em-shoppings-da-zona-oeste-do-rio.ghtml
177|https://g1.globo.com/economia/noticia/2022/08/26/golpe-do-falso-motoboy-troca-de-cartao-whatsapp-e-link-falso-febraban-explica-e-da-dicas-de-como-evitar.ghtml
179|https://g1.globo.com/sp/sao-paulo/carnaval/2019/noticia/2019/03/04/folioes-relatam-golpe-da-troca-do-cartao-no-carnaval-de-rua-em-sp.ghtml
181|https://g1.globo.com/pa/santarem-regiao/noticia/2023/03/07/posto-de-combustivel-denuncia-golpe-com-troca-de-maquinas-de-cartao-de-credito-em-santarem.ghtml
183|https://g1.globo.com/pa/para/noticia/2021/10/20/em-belem-golpe-de-troca-de-maquina-de-cartao-de-credito-gera-prejuizo-de-r-27-mil-a-restaurante.ghtml
185|https://valorinveste.globo.com/objetivo/organize-as-contas/noticia/2020/07/22/procon-alerta-para-golpe-da-troca-de-cartao-em-bancos-na-pandemia.ghtml
187|https://g1.globo.com/sp/vale-do-paraiba-regiao/noticia/2021/05/14/criminoso-troca-maquina-de-cartao-e-aplica-golpe-em-padaria-em-taubate.ghtml
189|https://g1.globo.com/df/distrito-federal/noticia/2021/05/21/videos-dupla-troca-maquinas-de-cartao-de-credito-e-aplica-golpes-em-comercios-no-df.ghtml
191|https://www.cnnbrasil.com.br/nacional/policia-prende-criminosos-especializados-no-golpe-da-retencao-do-cartao-de-credito/
193|https://www.cnnbrasil.com.br/tecnologia/empresa-alerta-para-novo-golpe-com-pagamento-por-aproximacao-no-cartao-de-credito/
195|https://g1.globo.com/sp/sao-paulo/noticia/2025/03/08/video-vitima-toma-maquina-de-cartao-da-mao-de-golpista-e-consegue-estornar-cobranca-indevida-de-r-2-mil-em-sp.ghtml
197|https://g1.globo.com/go/goias/noticia/2023/03/27/golpe-da-maquininha-entenda-crime-em-que-golpista-cancela-transacao-antes-de-fazer-pagamento-e-imprime-papel-para-simular-compra-realizada.ghtml
199|https://g1.globo.com/mg/centro-oeste/noticia/2022/11/18/prejuizo-de-r-1-mil-criminosos-trocam-maquinas-de-cartao-e-passam-a-receber-valores-das-compras-de-um-varejao-em-para-de-minas.ghtml
201|https://www.terra.com.br/economia/golpe-do-cartao-por-aproximacao-entenda-como-os-criminosos-agem,93d1bb60a3e8b70edfa6e02304c157d7r4klr756.html
203|https://g1.globo.com/carnaval/2019/noticia/2019/02/28/carnaval-2019-veja-dicas-para-evitar-roubo-de-celular-furtos-e-golpe-da-troca-de-cartao.ghtml
205|https://odia.ig.com.br/brasil/2019/03/5623538-golpe-da-troca-de-cartao-da-prejuizos-antes-mesmo-de-comecar-o-carnaval.html
209|https://valorinveste.globo.com/produtos/servicos-financeiros/noticia/2020/09/18/ja-ouviu-falar-no-golpe-da-falsa-ajuda-no-caixa-eletronico-ou-na-troca-de-cartao-cuidado.ghtml
211|https://g1.globo.com/fantastico/noticia/2019/06/23/policia-prende-quadrilha-que-aplicava-golpes-em-clientes-de-cartoes-de-credito.ghtml
213|https://extra.globo.com/economia-e-financas/e-golpe-criminosos-transferem-numero-de-celular-de-um-chip-para-outro-veja-como-se-proteger-25378510.html
215|https://g1.globo.com/go/goias/noticia/2023/02/12/golpe-do-bilhete-premiado-entenda-golpe-em-que-criminosos-convencem-vitimas-a-entregar-dinheiro-e-joias-em-troca-de-premio-falso.ghtml
217|https://g1.globo.com/go/goias/noticia/2023/01/28/golpe-do-falso-troco-entenda-golpe-em-que-criminosos-simulam-confusao-para-enganar-atendente-e-pegar-dinheiro.ghtml
219|https://g1.globo.com/sp/ribeirao-preto-franca/noticia/casal-troca-maquina-de-cartao-para-aplicar-golpe-em-restaurante-de-ribeirao-preto-video.ghtml
221|https://g1.globo.com/fato-ou-fake/noticia/2023/03/02/e-fake-mensagem-que-promete-a-titular-de-cartao-de-credito-resgate-pelo-uso-entre-2019-e-2022.ghtml
223|https://g1.globo.com/economia/noticia/2024/07/12/golpe-do-pix-errado-saiba-como-os-criminosos-agem-e-como-nao-ser-enganado.ghtml/
225|https://g1.globo.com/sp/mogi-das-cruzes-suzano/noticia/2020/01/31/aposentada-de-mogi-tem-prejuizo-ao-cair-no-golpe-da-troca-do-registro-de-gas.ghtml
227|https://g1.globo.com/rs/rio-grande-do-sul/noticia/2025/03/13/alerta-golpe-maquininha-cartao.ghtml
232|https://g1.globo.com/rj/rio-de-janeiro/noticia/2025/06/13/idosa-denuncia-golpe-do-cartao-trocado-em-taxi-e-relata-prejuizo-de-r-30-mil.ghtml
234|https://extra.globo.com/economia-e-financas/justica-condena-banco-devolver-94-mil-cliente-que-caiu-em-golpe-da-troca-do-cartao-25138958.html
236|https://g1.globo.com/rs/rio-grande-do-sul/noticia/2024/02/29/golpe-do-falso-cartorio-criminosos-fraudam-boletos-para-cobranca-de-dividas-no-rs-saiba-como-se-proteger.ghtml
238|https://g1.globo.com/economia/educacao-financeira/noticia/2024/10/15/golpe-da-agencia-investigada-conheca-a-nova-fraude-financeira-e-veja-como-se-proteger.ghtml
240|https://g1.globo.com/economia/tecnologia/blog/altieres-rohr/post/2020/02/27/como-criminosos-podem-fazer-compras-fraudulentas-no-cartao-de-credito.ghtml
242|https://g1.globo.com/rs/rio-grande-do-sul/noticia/2023/08/17/golpe-usa-mensagem-de-texto-falsa-sobre-compra-no-cartao-de-credito-no-rs-saiba-como-evitar-a-fraude.ghtml
244|https://g1.globo.com/mg/triangulo-mineiro/noticia/2025/01/15/casal-e-preso-apos-dar-golpe-de-r-250-mil-em-empresa-de-maquinas-de-cartao-em-mg.ghtml
246|https://g1.globo.com/sp/ribeirao-preto-franca/noticia/2025/05/15/mulher-cai-em-golpe-com-pagamento-por-aproximacao-de-cartao-e-relata-prejuizo-de-r-4-mil-em-ribeirao-preto.ghtml
248|https://g1.globo.com/politica/noticia/2023/03/26/mj-manda-google-e-facebook-retirarem-do-ar-posts-com-golpe-do-recall-do-cartao-de-credito.ghtml
250|https://g1.globo.com/es/espirito-santo/noticia/2020/06/10/em-novo-golpe-criminosos-se-passam-por-bancarios-e-recolhem-cartoes-de-credito-no-es.ghtml
252|https://www.terra.com.br/economia/golpe-do-pix-copia-e-cola-criminosos-roubam-dinheiro-de-vitimas-em-compras-on-line-saiba-se-proteger,251665af2352523daa77fc823125611c55yvhj0l.html
254|https://www.cnnbrasil.com.br/nacional/entenda-como-criminosos-trocam-etiquetas-de-bagagem-por-malas-com-drogas-em-aeroporto/
256|https://g1.globo.com/go/goias/noticia/2023/03/19/golpe-do-falso-emprego-entenda-golpe-em-que-criminosos-prometem-trabalhos-com-altos-salarios-e-usam-dados-para-clonar-cartoes-e-abrir-contas-em-bancos.ghtml
258|https://g1.globo.com/go/goias/noticia/2024/07/03/golpe-da-carta-contemplada-entenda-como-agiam-criminosos-que-causaram-prejuizo-de-r-200-mil-a-pessoas-de-baixa-renda.ghtml
260|https://www.cnnbrasil.com.br/economia/macroeconomia/golpe-no-enjoei-crimososos-usam-plataforma-para-pedir-dados-sensiveis-e-cobrar-taxas-inexistentes/
262|https://www.terra.com.br/economia/tudo-sobre-devolucao-troca-e-outros-direitos-em-compras-online,722299eeee3e52df16a1ff59510bf499gap40smt.html
264|https://g1.globo.com/ba/bahia/noticia/2021/03/31/idoso-e-vitima-de-golpe-do-falso-cartao-de-credito-clonado-e-tem-prejuizo-de-mais-de-r-10-mil-em-salvador.ghtml
266|https://g1.globo.com/economia/tecnologia/blog/ronaldo-prass/post/2018/10/23/falsa-promocao-de-cartao-de-credito-para-negativados-com-bonus-de-r70000-se-espalha-pela-rede.ghtml
268|https://g1.globo.com/sp/campinas-regiao/noticia/2024/09/16/golpe-da-falsa-entrega-faz-pelo-menos-20-vitimas-em-valinhos-saiba-como-criminosos-agem.ghtml
270|https://oglobo.globo.com/economia/noticia/2025/01/22/golpe-da-selfie-criminosos-utilizam-foto-das-vitimas-para-roubar-dados-pessoais.ghtml
272|https://g1.globo.com/jornal-nacional/noticia/2024/03/02/golpe-do-call-center-criminosos-burlam-chamadas-telefonicas-de-bancos-para-aplicar-fraudes.ghtml
274|https://www.terra.com.br/byte/conheca-novo-golpe-online-que-rouba-dados-de-cartoes-de-credito-e-mais,4fcbe66587aa8d4ecf9575010e04ebfb7y4enl7f.html
276|https://g1.globo.com/fato-ou-fake/itau/noticia/2023/11/30/golpe-do-boleto-falso-um-guia-para-nao-cair-nele.ghtml
278|https://g1.globo.com/profissao-reporter/noticia/2023/11/22/criminosos-vendem-cartoes-clonados-livremente-em-grupos-do-telegram-envio-em-ate-1h-apos-a-confirmacao-do-pagamento.ghtml
280|https://lupa.uol.com.br/jornalismo/2025/05/28/golpe-usa-video-manipulado-de-ratinho-para-cobrar-por-cartao-blue-bird
281|https://g1.globo.com/rj/rio-de-janeiro/noticia/2022/09/19/criminoso-aplica-golpe-como-intermediario-e-ainda-debocha-da-vitima-obrigado-pelo-trocado.ghtml
283|https://g1.globo.com/pr/parana/noticia/2025/04/29/com-cartao-clonado-em-golpe-vitima-de-curitiba-aciona-banco-central-e-recupera-mais-de-32-mil.ghtml
286|https://pplware.sapo.pt/internet/seguranca/operacao-ctrl-e-dicas-para-evitar-ter-o-cartao-bancario-clonado/
288|https://economia.uol.com.br/noticias/redacao/2025/04/29/golpe-novo-virus-clona-dados-de-cartao-remotamente-pelo-celular.htm
290|https://www.cnnbrasil.com.br/nacional/nordeste/rn/empresarios-sao-investigados-por-esquema-de-clonagem-de-cartoes-em-natal/
294|https://blog.pagseguro.uol.com.br/autofinanciamento-com-maquininha-posso-passar-meu-cartao/
296|https://pplware.sapo.pt/internet/cerca-de-6000-pessoas-queixam-se-de-cartao-bancario-clonado/
300|https://economia.uol.com.br/noticias/redacao/2024/09/16/golpes-financeiros-mais-cometidos-contra-idosos.htm
302|https://olhardigital.com.br/2024/08/27/seguranca/novo-golpe-usa-malware-para-roubar-dados-de-cartoes-em-pagamentos-por-aproximacao/
308|https://www.mojeek.com/search?q=Golpe%20do%20Cart%C3%A3o%20Clonado&fmt=news
309|https://exame.com/invest/minhas-financas/golpes-de-carnaval-cartao-clonado-e-golpe-da-maquininha-estao-entre-os-mais-comuns/
311|https://www.uol.com.br/tilt/noticias/redacao/2024/01/17/como-resolver-cartao-clonado-no-app-do-banco.htm
313|https://exame.com/invest/minhas-financas/entenda-o-que-e-golpe-do-boleto-e-como-se-proteger/
315|https://www.novucard.com.br/blog/cartao-clonado-golpistas-como-prevenir/
317|https://olhardigital.com.br/2023/08/30/seguranca/cartao-clonado-como-descobrir-o-que-fazer-e-como-se-prevenir/
321|https://einvestidor.estadao.com.br/comportamento/como-se-proteger-golpes-maquinas-de-cartao/
323|https://www.tecmundo.com.br/seguranca/265935-golpe-qr-code-proteger.htm
325|https://blog.bb.com.br/cartao-clonado-saiba-como-se-proteger/
327|https://www.uol.com.br/tilt/noticias/redacao/2023/06/19/golpe-da-cara-falsa-homem-usava-boneco-e-foto-para-burlar-biometria-facial.htm
329|https://investnews.com.br/economia/cartao-clonado-o-que-fazer/
331|https://www.em.com.br/app/noticia/gerais/2023/05/05/interna_gerais,1489968/quadrilha-especializada-em-golpe-de-clonagem-de-cartao-e-presa.shtml
333|https://www.uol.com.br/tilt/noticias/redacao/2023/03/30/venda-de-cartao-clonado-golpistas-usam-as-redes-sociais-atrair-compradores.htm
335|https://www.uol.com.br/tilt/noticias/redacao/2023/02/23/golpe-golpe-contra-mei-golpe-taxa-associativa.htm
339|https://www.metropoles.com/sao-paulo/golpes-do-cartao-por-aproximacao-fazem-vitimas-nas-ruas-de-sp
341|https://canaltech.com.br/seguranca/como-proteger-o-cartao-de-credito-por-aproximacao-de-novo-golpe-de-clonagem-238388/
343|https://www.tecmundo.com.br/seguranca/259957-novo-golpe-permite-clonar-cartoes-pagamentos-aproximacao.htm
345|https://www.metropoles.com/distrito-federal/dupla-do-golpe-do-motoboy-e-presa-com-20-maquinas-de-cartao-no-df
347|https://www.uol.com.br/tilt/noticias/redacao/2022/12/05/golpe-da-mao-fantasma-como-se-proteger-de-crime-que-invade-seu-celular.htm
349|https://blog.pagseguro.uol.com.br/golpe-da-central-falsa/
353|https://www.cora.com.br/blog/cartao-clonado-golpe/
355|https://blog.pagseguro.uol.com.br/o-que-e-golpe-do-boleto-falso/
357|https://www.uol.com.br/tilt/noticias/redacao/2022/07/21/golpe-do-auxilio-brasil-criminosos-tentam-20-mil-vitimas-por-dia.htm
359|https://www.mundoconectado.com.br/seguranca/cartao-por-aproximacao-posso-ter-meu-cartao-clonado-fazendo-um-pagamento/
361|https://www.uol.com.br/tilt/noticias/redacao/2022/07/14/pague-r-20-e-receba-r-200-cuidado-com-o-novo-golpe-do-robo-do-pix.htm
363|https://revistaquem.globo.com/QUEM-News/noticia/2022/07/barbara-evans-tem-cartao-clonado-e-prejuizo-de-r-7-mil-nem-parcelaram.html
365|https://www.em.com.br/app/noticia/gerais/2022/05/17/interna_gerais,1367069/especialista-da-instrucoes-sobre-o-que-fazer-quando-o-cartao-for-clonado.shtml
367|https://www.uol.com.br/tilt/noticias/redacao/2022/04/30/apple-meta-e-twitter-sao-enganadas-para-exploracao-sexual-de-menores.htm
369|https://blog.pagseguro.uol.com.br/golpe-cartao-clonado/
373|https://www.uol.com.br/tilt/noticias/redacao/2022/01/24/novo-golpe-centrais-falsas-de-banco-usando-0800.htm
375|https://www.estadao.com.br/infograficos/brasil,whatsapp-clonado-cartao-falso-motoboy-veja-os-principais-golpes,1215699
377|https://www.em.com.br/app/noticia/gerais/2021/12/14/interna_gerais,1331144/policia-prende-integrantes-de-quadrilha-do-golpe-do-cartao-clonado.shtml
379|https://tribunapr.uol.com.br/noticias/curitiba-regiao/golpe-do-chip-de-celular-clonado-entenda-como-os-bandidos-tem-acesso-aos-dados/
383|https://economia.uol.com.br/noticias/redacao/2021/09/20/cartao-clonado-afeta-milhoes-no-brasil-saiba-como-recuperar-o-dinheiro.htm
387|https://www.uol.com.br/tilt/noticias/redacao/2021/09/05/golpe-do-falso-pagamento-lidera-lista-de-fraudes-digitais-mostra-pesquisa.htm
390|https://www.idinheiro.com.br/cartao-de-credito/guias/cartao-clonado-quem-paga-a-fatura/
392|https://www.uol.com.br/tilt/noticias/redacao/2021/08/20/justica-obriga-facebook-e-vivo-a-ressarcir-vitima-do-golpe-do-whatsapp.htm
394|https://noticias.r7.com/sao-paulo/policia-prende-suspeitos-de-darem-golpe-do-cartao-clonado-em-idosos-29062022
396|https://www.migalhas.com.br/quentes/349947/caixa-restituira-cliente-que-teve-cartao-de-credito-clonado
398|https://www.uol.com.br/tilt/noticias/bbc/2021/07/24/golpe-em-delivery-entregador-viraliza-ao-filmar-dados-de-cartao-veja-como-se-prevenir.htm
400|https://www.uol.com.br/tilt/noticias/redacao/2021/07/11/psafe-a-cada-6-segundos-houve-uma-tentativa-de-golpe-financeiro-no-brasil.htm
402|https://www.uol.com.br/carros/colunas/doutor-multas/2021/07/07/carro-clonado-como-saber-se-voce-foi-vitima-desse-golpe-e-o-que-fazer.htm
404|https://noticias.r7.com/minas-gerais/balanco-geral-mg/videos/lider-da-quadrilha-do-golpe-do-falso-cartao-clonado-e-preso-24052021
406|https://economia.uol.com.br/noticias/redacao/2021/02/25/golpe-pix-bancos-febraban-whatsapp-bug-clonagem-crime.htm
408|https://neon.com.br/aprenda/financas-pessoais/cartao-clonado-o-que-fazer/
415|https://gauchazh.clicrbs.com.br/seguranca/noticia/2020/12/suspeitos-do-golpe-do-cartao-de-credito-clonado-que-causou-prejuizo-de-mais-de-r-500-mil-no-rs-sao-presos-ckig3sd8v0043017w7pjstlfg.html
417|https://epocanegocios.globo.com/Economia/noticia/2020/11/golpe-da-black-friday-um-cada-6-brasileiros-ja-teve-cartao-de-credito-clonado.html
419|https://www.tecmundo.com.br/seguranca/207094-whatsapp-clonado-conheca-golpes-saiba-proteger.htm
421|https://www.cisoadvisor.com.br/leva-so-1-minuto-para-clonar-um-cartao-de-credito-afirma-pesquisadora/
423|https://gauchazh.clicrbs.com.br/seguranca/noticia/2020/07/paulistas-estao-por-tras-de-serie-de-golpes-do-cartao-clonado-no-rs-ckc54l74r006x014yjknrwmg2.html
425|https://www.uol.com.br/tilt/noticias/redacao/2020/05/26/golpe-do-boleto-aprenda-de-vez-como-nao-pagar-contas-falsas.htm
427|https://www.em.com.br/app/colunistas/anna-marina/2020/03/18/interna_anna_marina,1129720/golpe-do-cartao-de-credito-clonado-continua-a-topo-vapor.shtml
429|https://www.uol.com.br/tilt/noticias/redacao/2019/10/30/como-nao-cair-em-golpes-ao-pagar-o-ifood.htm
431|https://www.concil.com.br/blog/de-quem-e-a-responsabilidade-das-fraudes-no-cartao/
433|https://www.metropoles.com/distrito-federal/seguranca-df/homem-e-preso-por-usar-cartoes-clonados-para-comprar-iphones
437|https://www.metropoles.com/distrito-federal/seguranca-df/grupo-aplicava-golpe-do-cartao-clonado-em-moradores-do-lago-norte
439|https://www.jusbrasil.com.br/noticias/6-dicas-para-o-consumidor-que-e-vitima-de-fraude-cartao-de-credito-clonado/243086269
443|https://www.em.com.br/app/noticia/economia/2013/08/19/internas_economia,436720/cuidados-ao-usar-caixas-eletronicos-e-e-mails-para-nao-cair-no-golpe-do-cartao-clonado.shtml
445|https://g1.globo.com/pb/paraiba/noticia/2012/01/defensor-recomenda-nao-assinar-cartao-de-credito-para-evitar-clonagem.html
447|https://expresso.pt/opiniao/blogues/e-se-de-repente-lhe-telefonarem-do-banco-a-dizer-que-o-seu-cartao-foi-clonado=f678432
449|https://www.tecmundo.com.br/email/2726-clonagem-de-cartao-entenda-como-acontece-e-os-riscos.htm
451|https://www.cnnbrasil.com.br/economia/macroeconomia/golpe-de-pagamento-saiba-o-que-fazer-se-receber-ligacao-do-banco-para-confirmacao-de-compra/
455|https://g1.globo.com/sp/sao-paulo/noticia/2024/01/26/mulher-perde-r-48-mil-apos-golpista-se-passar-por-funcionaria-de-banco-e-comunicar-clonagem-de-cartao-dinheiro-da-vida-diz-vitima.ghtml
457|https://g1.globo.com/tecnologia/noticia/2023/01/31/novo-golpe-no-cartao-entenda-como-funciona-fraude-no-pagamento-por-aproximacao-e-saiba-como-se-proteger.ghtml
